50;500;1
cp0;324;2;500;399;6;-1
cp1;413;7;590;444;7;3
cp2;321;2;500;611;1;3
cp3;442;1;500;535;4;1
cp4;254;7;500;327;1;2
cp5;426;1;512;541;-3;1
cp6;430;1;601;252;1;2
cp7;324;3;513;236;2;9
cp8;323;1;534;111;1;2
cp9;486;2;502;126;1;3
cp11;463;1;577;214;1;1
cp11;369;2;501;554;1;-4
cp12;419;1;509;611;1;1
cp13;196;2;630;639;1;1
cp14;183;2;612;531;1;7
cp15;430;2;598;516;13;15
cp16;494;4;517;559;1;1
cp17;112;2;560;766;4;-1
cp18;278;1;500;636;8;1
cp19;247;2;420;613;2;1
cp21;123;3;552;141;4;1
cp21;281;3;488;577;1;-3
cp22;131;2;551;299;6;1
cp23;482;9;537;333;9;6
cp24;411;2;441;565;18;-2
cp25;500;1;572;711;1;1
cp26;151;1;669;210;1;1
cp27;386;2;623;319;2;1
cp28;240;1;511;593;2;1
cp29;188;5;596;578;1;3
cp31;125;1;423;281;2;1
cp31;367;2;675;751;-1;1
cp32;267;1;429;421;-1;1
cp33;400;1;558;584;1;1
cp34;350;1;669;42;1;6
cp35;119;2;524;275;5;6
cp36;445;5;534;566;2;-3
cp37;74;1;488;777;1;1
cp38;148;1;577;122;-8;1
cp39;500;1;513;727;1;3
cp41;185;1;590;340;1;1
cp41;421;1;538;711;-1;2
cp42;205;1;551;171;5;-3
cp43;121;1;668;600;-2;2
cp44;310;3;631;716;-3;5
cp45;177;1;511;539;-1;4
cp46;461;2;537;219;-3;1
cp47;358;1;415;568;-1;1
cp48;337;4;563;652;-6;2
cp49;162;2;478;774;4;2
