50;10000;10
cp0;324;12,9;1166;399;0;0
cp1;410;7,3;595;444;0;0
cp2;327;10,4;1051;611;0;0
cp3;442;23,9;215;535;0;0
cp4;295;18,2;273;327;0;0
cp5;420;12,9;1042;541;0;0
cp6;416;0,6;80;252;0;0
cp7;324;3,2;474;236;0;0
cp8;350;13,6;234;111;0;0
cp9;481;13,6;898;126;0;0
cp10;451;13,5;654;214;0;0
cp11;369;23,5;1242;554;0;0
cp12;423;1,6;390;610;0;0
cp13;398;22,6;797;639;0;0
cp14;451;2,8;7;530;0;0
cp15;438;7,8;752;506;0;0
cp16;234;18,2;908;559;0;0
cp17;169;23,7;204;766;0;0
cp18;278;9,3;1220;636;0;0
cp19;245;23,7;219;603;0;0
cp20;182;9,2;552;140;0;0
cp21;286;3,0;329;577;0;0
cp22;183;24,4;350;299;0;0
cp23;486;9,1;73;333;0;0
cp24;415;2,0;1340;56;0;0
cp25;400;17,7;1372;711;0;0
cp26;459;12,8;1169;20;0;0
cp27;389;25,3;623;319;0;0
cp28;425;18,1;1030;593;0;0
cp29;188;5,6;396;578;0;0
cp30;461;19,4;823;281;0;0
cp31;385;25,0;27;751;0;0
cp32;234;13,0;629;420;0;0
cp33;423;9,2;958;584;0;0
cp34;251;18,3;669;42;0;0
cp35;113;23,0;324;275;0;0
cp36;424;5,8;534;566;0;0
cp37;154;13,8;988;777;0;0
cp38;123;15,0;1177;122;0;0
cp39;320;7,3;203;727;0;0
cp40;444;7,9;59;34;0;0
cp41;458;13,8;1238;711;0;0
cp42;103;22,4;551;170;0;0
cp43;124;17,5;26;6;0;0
cp44;129;9,7;631;716;0;0
cp45;155;18,9;1011;539;0;0
cp46;237;6,0;1376;219;0;0
cp47;273;8,8;215;568;0;0
cp48;282;4,4;1063;652;0;0
cp49;103;24,2;58;774;0;0
